OCCUPATION,Current monthly rent,How long have you stayed at this PG? (in months),"Overall, how would you rate the physical amenities (room, furniture, Wi-Fi, food) at this PG?",How would you rate the security of the PG?,"When you last raised a complaint, how long did it take to resolve?",How many complaints have you raised in the last 3 months?,Is your security deposit fully refundable based on what you've seen/heard from others who left?,Do you feel your rent is fair compared to similar PGs nearby?,"Overall, how satisfied are you with this PG?",Do you intend to renew/continue your stay at this PG beyond your current term?,What's the single biggest reason for your answer above?
WORKING PROFESSIONAL,5000,7.4,5,3,same day,2,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
STUDENT,5000,10.6,4,4,no complaints raised,1,"Yes, straightforward",overpriced,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,15000,1.3,5,3,same day,1,Not sure,fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,3.3,3,4,no complaints raised,2,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,18000,22.8,4,5,no complaints raised,1,Not sure,underpriced,5,No,The food quality is not satisfactory.
WORKING PROFESSIONAL,9500,18.3,3,3,same day,3,"Yes, straightforward",fair,3,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,11500,23.6,3,4,same day,2,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,6500,19.6,3,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,26.8,4,5,same day,2,Not sure,fair,4,No,I found better accommodation options nearby.
WORKING PROFESSIONAL,18000,29.3,5,2,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,14500,1.0,4,5,same day,0,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
STUDENT,17500,3.9,3,3,few days,1,Not sure,fair,4,No,The rent is high compared with other PGs nearby.
WORKING PROFESSIONAL,7500,13.0,4,4,same day,3,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,17000,16.1,4,4,same day,0,Not sure,fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,6000,6.6,4,4,same day,2,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,10500,29.8,4,3,few days,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,7000,36.0,5,5,same day,0,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,19.1,5,3,no complaints raised,0,Not sure,fair,4,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,17.6,5,3,same day,2,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,16000,28.9,3,5,same day,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,18000,1.0,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,16.8,5,3,same day,1,Not sure,fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,30.8,4,4,few days,3,Not sure,fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,7.0,3,4,same day,1,"Yes, straightforward",fair,4,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,6000,1.0,5,3,same day,1,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,13.7,4,4,same day,2,"Yes, straightforward",underpriced,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,15.5,4,4,same day,2,"Yes, straightforward",underpriced,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,12000,3.1,3,5,same day,1,"Yes, straightforward",overpriced,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,14000,36.0,3,4,same day,0,"Yes, straightforward",fair,3,No,The overall facilities do not justify the rent.
WORKING PROFESSIONAL,5000,9.4,4,4,same day,0,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,18000,1.0,5,4,few days,1,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,18000,15.0,5,5,same day,0,"Yes, straightforward",underpriced,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,8000,29.7,5,5,few days,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
STUDENT,18000,16.7,4,5,same day,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
STUDENT,8000,23.5,4,4,few days,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,3.6,4,3,no complaints raised,2,"Yes, straightforward",fair,4,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,36.0,5,5,same day,1,Not sure,fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,24.7,4,4,never resolved,2,Not sure,fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,18000,31.8,5,4,same day,1,Not sure,fair,5,Maybe,"The facilities are decent, although maintenance can improve."
